code	Year	metric	C_n	C_mean	C_sd	D_n	D_mean	D_sd	W_n	W_mean	W_sd	I_n	I_mean	I_sd	N_n	N_mean	N_sd	IN_n	IN_mean	IN_sd	WN_n	WN_mean	WN_sd	LAT	LON	stable	term	site.MAT	site.MAP	ECO	AT_net	GST_net	D_net	I_net	N_net	WI_net	WN_net	DN_net	IN_net
Anadon-Rosell et al 2017_49	2017	Ratio_S	5	87.48710011	0.328377766	0	NA	NA	5	88.2002851	0.700554829	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_50	2017	COV	5	140	5.656854249	0	NA	NA	5	132	4.242640687	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_50	2017	Ratio_S	5	86.74428105	2.050840741	0	NA	NA	5	91.27476314	0.816126687	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Baez et al., 2013_10	2013	COV	3	6.125673077	3.982868023	3	4.411346154	2.947581325	0	NA	NA	3	13.51184615	5.793876552	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	1	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_10	2013	Ratio_S	3	27.87428571	9.338177654	3	30.972	21.64063238	0	NA	NA	3	39.62	10.03980411	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	1	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_10	2013	SP	3	21.37362637	2.207852476	3	19	7.490625303	0	NA	NA	3	24.80769231	3.559857276	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	1	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_11	2013	COV	3	11.16334135	7.16291438	3	9.895192308	9.111373849	0	NA	NA	3	14.46707692	9.017155894	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	1	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_11	2013	Ratio_S	3	16.47621963	5.490412201	3	24.52404224	6.64315748	0	NA	NA	3	37.32290742	14.03336338	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	1	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_11	2013	SP	3	27.63736264	3.83606736	3	25.07692307	6.426645716	0	NA	NA	3	28.07692308	2.452708523	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	1	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	2017	AGB	3	1076.029218	174.0982456	0	NA	NA	3	1040.265	135.4015107	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	1	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	2017	AGB_S	3	1006.718873	100.6845532	0	NA	NA	3	988.8875	95.15487144	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	1	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	2017	COV	3	97.32947356	7.774203408	0	NA	NA	3	96.5375	5.865858136	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	1	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	2017	Ratio_S	3	90.10100623	8.214882236	0	NA	NA	3	92.03617992	6.413758949	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	1	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	2017	SP	3	5.583333333	1.044353865	0	NA	NA	3	5.333333333	1.103855336	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	1	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Brancaleoni et al 2007_7	2007	AGB	4	422.2608696	38.77909909	0	NA	NA	0	NA	NA	4	424.2654028	52.60279219	5	454.8066298	63.13155018	4	440.2247191	40.06843029	0	NA	NA	44.13	10.6	1	1	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_7	2007	AGB_S	4	250.3529412	22.90948036	0	NA	NA	0	NA	NA	4	258.6915888	23.25582205	5	226.9565217	18.29189908	4	229.3333333	25.06288384	0	NA	NA	44.13	10.6	1	1	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_7	2007	Ratio_S	4	59.71	2.837216946	0	NA	NA	0	NA	NA	4	61.69	3.5611866	5	50.70005969	7.176616303	4	52.85063832	8.71643782	0	NA	NA	44.13	10.6	1	1	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_7	2007	SP	4	11.36	0.62289646	0	NA	NA	0	NA	NA	4	11	0.860232527	5	10.056	1.794346678	4	9.76	0.85322916	0	NA	NA	44.13	10.6	1	1	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_8	2007	AGB	4	462.6086957	26.26029371	0	NA	NA	0	NA	NA	4	442.464455	48.2407654	5	505.1933702	73.4012781	4	463.1460674	70.64994852	0	NA	NA	44.13	10.6	1	1	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_8	2007	AGB_S	4	352.9411765	18.8235294	0	NA	NA	0	NA	NA	4	324.488	27.13721835	5	296.8	20.47437423	4	269.6629213	14.90617881	0	NA	NA	44.13	10.6	1	1	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_8	2007	Ratio_S	4	76.57	1.710979252	0	NA	NA	0	NA	NA	4	74.39	2.543186977	5	65.448	12.58655116	4	58.09	10.98411125	0	NA	NA	44.13	10.6	1	1	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_8	2007	SP	4	10.48	0.782304289	0	NA	NA	0	NA	NA	4	11.84	1.438054241	5	11.36	0.931665176	4	11.76	1.458766602	0	NA	NA	44.13	10.6	1	1	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al., 2014_100_1	2014	DEN	6	79.78803191	18.21722709	0	NA	NA	0	NA	NA	0	NA	NA	6	76.27664894	17.39198086	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_100_1	2014	H	6	1.7375	0.065510813	0	NA	NA	0	NA	NA	0	NA	NA	6	1.853845332	0.035966084	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_100_1	2014	SP	6	8.3975	0.835718254	0	NA	NA	0	NA	NA	0	NA	NA	6	8.635	0.318904374	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_100_2	2014	DEN	6	79.78803191	18.21722709	0	NA	NA	0	NA	NA	0	NA	NA	6	82.3375	26.15092016	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_100_2	2014	H	6	1.7375	0.065510813	0	NA	NA	0	NA	NA	0	NA	NA	6	1.849546411	0.03754747	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_100_2	2014	SP	6	8.3975	0.835718254	0	NA	NA	0	NA	NA	0	NA	NA	6	8.995	0.51	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_101_1	2014	DEN	6	113.9375	26.12607175	0	NA	NA	0	NA	NA	0	NA	NA	6	121.5975	22.89485004	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_101_1	2014	H	6	1.9225	0.034034296	0	NA	NA	0	NA	NA	0	NA	NA	6	2.083606587	0.07909723	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_101_1	2014	SP	6	9.5425	0.660119939	0	NA	NA	0	NA	NA	0	NA	NA	6	11.49	1.191049957	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_101_2	2014	DEN	6	113.9375	26.12607175	0	NA	NA	0	NA	NA	0	NA	NA	6	125.105	33.88689963	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_101_2	2014	H	6	1.9225	0.034034296	0	NA	NA	0	NA	NA	0	NA	NA	6	2.064975209	0.112688885	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_101_2	2014	SP	6	9.5425	0.660119939	0	NA	NA	0	NA	NA	0	NA	NA	6	11.3925	1.229318917	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Campioli et al., 2012_25	2012	COV	6	156.8627451	23.49060663	0	NA	NA	6	217.6470588	30.20220853	0	NA	NA	6	219.6078431	18.46915266	0	NA	NA	6	267.6470588	41.95975929	68.35	18.82	1	1	3.9	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Carpenter et al., 1990_95	1990	SP	4	35.23333333	3.280751946	0	NA	NA	0	NA	NA	0	NA	NA	4	28.73333333	4.56216323	0	NA	NA	0	NA	NA	39.9	-108.11	2	1	NA	282	tem	NA	NA	NA	NA	10	NA	NA	NA	NA
Dawes et al 2015_37	2015	AGB	5	166.6666667	68.80209162	0	NA	NA	5	297.4358974	114.6701527	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
Dawes et al 2015_37	2015	AGB_S	5	105.3571429	71.87361356	0	NA	NA	5	250	173.6945661	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
Dawes et al 2015_38	2015	AGB	5	269.2307692	126.137168	0	NA	NA	5	264.1025641	108.9366451	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
Dawes et al 2015_38	2015	AGB_S	5	220.5357143	89.84201695	0	NA	NA	5	241.9642857	77.86308136	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
de Dato et al., 2004_82	2004	AGB	3	84.085	32.36427737	3	75.465	26.67913885	3	88.75	35.70889245	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.8	640	med & Des	NA	0.9	-108	NA	NA	NA	NA	NA	NA
de Dato et al., 2006_165	2006	COV	3	83.8317757	5.074344661	3	77.6635514	4.932360492	3	88.41121495	4.811647248	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.8	640	med & Des	NA	1	-108	NA	NA	NA	NA	NA	NA
Demarco et al 2014_43	2014	AGB	2	913.0434783	354.0372671	0	NA	NA	2	1481.36646	503.1055901	0	NA	NA	2	1630.434783	372.6708075	0	NA	NA	2	3493.78882	1900.621118	68.63	-149.63	1	1	-10	318	Arc	0.5	4.57	NA	NA	10	NA	45.7	NA	NA
Demarco et al 2014_43	2014	ANPP	2	340.4255319	153.1914894	0	NA	NA	2	414.1843972	124.822695	0	NA	NA	2	490.7801418	34.04255319	0	NA	NA	2	910.6382979	499.2907801	68.63	-149.63	1	1	-10	318	Arc	0.5	4.57	NA	NA	10	NA	45.7	NA	NA
Dias et al., 2011_40A	2011	H	3	2.097248882	0.28160411	0	NA	NA	0	NA	NA	0	NA	NA	3	2.11162123	0.45957762	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	4	NA	NA	NA	NA
Dias et al., 2011_40AN	2011	H	3	2.097248882	0.28160411	0	NA	NA	0	NA	NA	0	NA	NA	3	2.37145338	0.061087776	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	4	NA	NA	NA	NA
Dias et al., 2011_80AN	2011	H	3	2.097248882	0.28160411	0	NA	NA	0	NA	NA	0	NA	NA	3	2.460441622	0.000231509	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	8	NA	NA	NA	NA
Dias et al., 2011_40A	2011	SP	3	17.77202073	1.685332225	0	NA	NA	0	NA	NA	0	NA	NA	3	18.44559585	0.293101256	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	4	NA	NA	NA	NA
Dias et al., 2011_40AN	2011	SP	3	17.77202073	1.685332225	0	NA	NA	0	NA	NA	0	NA	NA	3	20.3626943	0.219825942	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	4	NA	NA	NA	NA
Dias et al., 2011_80AN	2011	SP	3	17.77202073	1.685332225	0	NA	NA	0	NA	NA	0	NA	NA	3	22.48704663	2.637911308	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	8	NA	NA	NA	NA
Dominguez et al., 2015_1	2015	AGB	3	3.36625	0.149467225	3	3.52	0.133544104	3	3.4575	0.140879554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.05	-3.47	1	1	8.3	1310	tem	0.2	NA	-275.1	NA	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_44	2014	COV	3	8.027777777	3.029151792	0	NA	NA	0	NA	NA	3	8.416666667	3.440249622	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	1	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_44	2014	DEN	3	7.34939759	3.505837779	0	NA	NA	0	NA	NA	3	9.686746988	4.215352568	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	1	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_45	2014	COV	3	8.027777777	3.029151792	0	NA	NA	0	NA	NA	3	3.513888889	2.290132964	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	1	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_45	2014	DEN	3	7.34939759	3.505837779	0	NA	NA	0	NA	NA	3	6.674698795	2.504169842	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	1	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_46	2014	COV	3	6.254545455	2.843248388	0	NA	NA	0	NA	NA	3	7.26060606	3.103463173	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	1	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_46	2014	DEN	3	10.3373494	3.839727091	0	NA	NA	0	NA	NA	3	10	3.088476139	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	1	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_47	2014	COV	3	6.254545455	2.843248388	0	NA	NA	0	NA	NA	3	9.34939759	1.168612593	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	1	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_47	2014	DEN	3	10.3373494	3.839727091	0	NA	NA	0	NA	NA	3	9.34939759	1.168612593	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	1	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Gough & Hobbie, 2003_76	2003	AGB	3	408.1	58.19690713	0	NA	NA	3	337.6	59.4093427	0	NA	NA	3	378.8	69.97485263	0	NA	NA	0	NA	NA	68.63	-149.6	1	1	-8.7	320	Arc	NA	1.5	NA	NA	10	NA	NA	NA	NA
Gough & Hobbie, 2003_76	2003	ANPP	3	128.4615385	23.98224195	0	NA	NA	3	142.3076923	6.661733875	0	NA	NA	3	147.6923077	25.31458873	0	NA	NA	0	NA	NA	68.63	-149.6	1	1	-8.7	320	Arc	NA	1.5	NA	NA	10	NA	NA	NA	NA
Graglia et al (2001)_23_1	2001	DEN	6	423.8566667	42.45669598	0	NA	NA	6	410.8933333	35.19379254	0	NA	NA	6	539.6514161	36.05499935	0	NA	NA	6	541.285403	47.35894372	68.35	18.82	1	1	-1	304	Arc	NA	2.73	NA	NA	10	NA	27.3	NA	NA
Graglia et al (2001)_23_1	2001	Ratio_S	6	67.23239311	2.94407061	0	NA	NA	6	67.99245426	1.15712983	0	NA	NA	6	61.39992403	2.720289071	0	NA	NA	6	65.25094864	3.073340855	68.35	18.82	1	1	-1	304	Arc	NA	2.73	NA	NA	10	NA	27.3	NA	NA
Graglia et al (2001)_23_2	2001	DEN	6	423.8566667	42.45669598	0	NA	NA	6	493.6833333	71.20900598	0	NA	NA	6	NA	NA	0	NA	NA	6	498.6928105	52.09420943	68.35	18.82	1	1	-1	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Graglia et al (2001)_23_2	2001	Ratio_S	6	67.23239311	2.94407061	0	NA	NA	6	70.22063396	1.022180722	0	NA	NA	6	NA	NA	0	NA	NA	6	64.438709	2.978140504	68.35	18.82	1	1	-1	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Graglia et al (2001)_24_1	2001	DEN	6	193.9533333	16.91933903	0	NA	NA	6	212.9433333	8.793704187	0	NA	NA	6	190.7715124	8.86261711	0	NA	NA	6	269.8000255	12.26516861	68.35	18.82	1	1	-1	304	Arc	NA	2.73	NA	NA	10	NA	27.3	NA	NA
Graglia et al (2001)_24_1	2001	Ratio_S	6	80.46256092	4.37079041	0	NA	NA	6	81.6031388	0.856084069	0	NA	NA	6	80.84298732	6.097958848	0	NA	NA	6	66.48974204	4.654846664	68.35	18.82	1	1	-1	304	Arc	NA	2.73	NA	NA	10	NA	27.3	NA	NA
Graglia et al (2001)_24_2	2001	DEN	6	193.9533333	16.91933903	0	NA	NA	6	209.6533333	7.71767668	0	NA	NA	6	NA	NA	0	NA	NA	6	268.6046969	22.77679753	68.35	18.82	1	1	-1	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Graglia et al (2001)_24_2	2001	Ratio_S	6	80.46256092	4.37079041	0	NA	NA	6	73.91990638	2.107393678	0	NA	NA	6	NA	NA	0	NA	NA	6	67.79024748	2.276175827	68.35	18.82	1	1	-1	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Gutierrez 1992_plot2	1992	AGB	6	7.776	0.167	NA	NA	NA	NA	NA	NA	6	32.856	6.319	NA	NA	NA	NA	NA	NA	NA	NA	NA	-30.1	-70.4	1	1	15	80.9	NA	NA	NA	NA	60	NA	NA	NA	NA	NA
Gutierrez 1992_plot2	1992	AGB	6	3.915	1.049	NA	NA	NA	NA	NA	NA	6	2.37	0.759	NA	NA	NA	NA	NA	NA	NA	NA	NA	-30.1	-70.4	1	1	15	80.9	NA	NA	NA	NA	60	NA	NA	NA	NA	NA
Harte et al., 2015 GCB_75	2015	AGB	5	184.7065941	35.68878153	0	NA	NA	5	200.4611145	35.43786711	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	38.95	-106.98	1	1	NA	750	Alp	NA	2	NA	NA	NA	NA	NA	NA	NA
Harte et al., 2015 GCB_75	2015	AGB_S	5	58.64197531	19.45974085	0	NA	NA	5	103.5390946	41.15931192	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	38.95	-106.98	1	1	NA	750	Alp	NA	2	NA	NA	NA	NA	NA	NA	NA
Harte et al., 2015 GCB_75	2015	Ratio_S	5	31.44777778	9.998625526	0	NA	NA	5	50.11888889	16.617158	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	38.95	-106.98	1	1	NA	750	Alp	NA	2	NA	NA	NA	NA	NA	NA	NA
Hartley et al., 1999_134	1999	COV	4	253.65	40.93228677	0	NA	NA	4	253.3866667	8.035927659	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	na	300	tem	NA	5	NA	NA	NA	NA	NA	NA	NA
Hartley et al., 1999_134	1999	Ratio_S	4	54.85333333	3.205890412	0	NA	NA	4	54.45333333	6.206257595	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	na	300	tem	NA	5	NA	NA	NA	NA	NA	NA	NA
Hartley et al., 1999_135	1999	Ratio_S	4	54.8540746	3.204784204	0	NA	NA	4	54.45377472	6.207484556	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	na	300	tem	NA	5	NA	NA	NA	NA	NA	NA	NA
Hasvik, master thesis. 2018_27	2018	COV	10	123.35	16.23447977	0	NA	NA	10	123	17.80527388	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	60.6	7.52	1	1	NA	1030	Alp	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hasvik, master thesis. 2018_27	2018	Ratio_S	10	63.15	20.57108272	0	NA	NA	10	62.2	15.32826003	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	60.6	7.52	1	1	NA	1030	Alp	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hasvik, master thesis. 2018_27	2018	SP	10	49.8	7.146094504	0	NA	NA	10	52.1	7.340148348	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	60.6	7.52	1	1	NA	1030	Alp	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Henry et al 2018_Hiddensee	2018	AGB	12	1070.994484	87.32880232	12	1204.622758	98.22484085	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	54.59	13.11	1	1	3	541	Tem	NA	NA	-192	NA	NA	NA	NA	NA	NA
Henry et al 2018_Hiddensee	2018	COV	12	103.2695398	4.441197955	12	113.393718	4.651570489	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	54.59	13.11	1	1	3	541	Tem	NA	NA	-192	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	2015	AGB	4	95.3	20.66994598	0	NA	NA	4	95.425	23.68943154	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	1	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	2015	COV	4	95.3	20.66994598	0	NA	NA	4	95.425	23.68943154	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	1	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	2015	H	4	0.7825	0.269242765	0	NA	NA	4	0.85	0.147196014	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	1	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	2015	Ratio_S	4	30.1375	6.55566104	0	NA	NA	4	32.2575	8.476927018	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	1	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
